alarm_id,alarm_name,alarm_text,trigger_tag,trigger_bit,plc_source,word_address,trigger_address
27,Discrete_alarm_27,Boosetpump outlet max pressure over 16 bar,HMI_Alarm_AlarmWord4,2,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.2
28,Discrete_alarm_28,Boosetpump inlet max pressure under 0.1 bar,HMI_Alarm_AlarmWord4,3,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.3
29,Discrete_alarm_29,Fault Suction pump 1,HMI_Alarm_AlarmWord4,4,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.4
30,Discrete_alarm_30,Fault Suction pump 2,HMI_Alarm_AlarmWord4,5,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.5
31,Discrete_alarm_31,Fault Feed pump,HMI_Alarm_AlarmWord4,6,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.6
32,Discrete_alarm_32,Fault Booster pump,HMI_Alarm_AlarmWord4,7,PLC_1_AK6,DB1.DBW5962,DB1.DBX5963.7
33,Discrete_alarm_33,LL Lvl switch Gasreturn tank,HMI_Alarm_AlarmWord5,0,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.0
34,Discrete_alarm_34,Overflow gas return line,HMI_Alarm_AlarmWord5,1,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.1
35,Discrete_alarm_35,No liquid before Suctionpump 2,HMI_Alarm_AlarmWord5,2,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.2
36,Discrete_alarm_36,No flow before Feed pump,HMI_Alarm_AlarmWord5,3,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.3
37,Discrete_alarm_37,No flow before Booster pump,HMI_Alarm_AlarmWord5,4,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.4
38,Discrete_alarm_38,Drum lvl high,HMI_Alarm_AlarmWord5,5,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.5
39,Discrete_alarm_39,Tank gas lvl high,HMI_Alarm_AlarmWord5,6,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.6
40,Discrete_alarm_40,Emergency stop not ok,HMI_Alarm_AlarmWord5,7,PLC_1_AK6,DB1.DBW5964,DB1.DBX5965.7
41,Discrete_alarm_41,Hydrolic oil lvl low,HMI_Alarm_AlarmWord6,0,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.0
42,Discrete_alarm_42,Nozzle wrong direction distributer 1,HMI_Alarm_AlarmWord6,1,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.1
43,Discrete_alarm_43,Nozzle no movement distributer 1,HMI_Alarm_AlarmWord6,2,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.2
44,Discrete_alarm_44,Nozzle wrong direction distributer 2,HMI_Alarm_AlarmWord6,3,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.3
45,Discrete_alarm_45,Nozzle no movement distributer 2,HMI_Alarm_AlarmWord6,4,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.4
46,Discrete_alarm_46,Nozzle wrong direction distributer 3,HMI_Alarm_AlarmWord6,5,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.5
47,Discrete_alarm_47,Nozzle no movement distributer 3,HMI_Alarm_AlarmWord6,6,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.6
48,Discrete_alarm_48,Tank O2 lvl High > 8%,HMI_Alarm_AlarmWord6,7,PLC_1_AK6,DB1.DBW5966,DB1.DBX5967.7
49,Discrete_alarm_49,Tank LEL level High > 20%,HMI_Alarm_AlarmWord7,0,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.0
50,Discrete_alarm_50,Less than 20 m3/h thrugh flowmeter,HMI_Alarm_AlarmWord7,1,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.1
51,Discrete_alarm_51,H2S or LEL stopped Tricanter,HMI_Alarm_AlarmWord7,2,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.2
52,Discrete_alarm_52,Nitrogen Generation Fault,HMI_Alarm_AlarmWord7,3,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.3
53,Discrete_alarm_53,Atmospheric Oxygen Below 20% Nitrogen Gen,HMI_Alarm_AlarmWord7,4,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.4
54,Discrete_alarm_54,Discrete_alarm_54,HMI_Alarm_AlarmWord7,5,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.5
55,Discrete_alarm_55,Discrete_alarm_55,HMI_Alarm_AlarmWord7,6,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.6
56,Discrete_alarm_56,Discrete_alarm_56,HMI_Alarm_AlarmWord7,7,PLC_1_AK6,DB1.DBW5968,DB1.DBX5969.7
57,Discrete_alarm_57,Discrete_alarm_57,HMI_Alarm_AlarmWord8,0,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.0
58,Discrete_alarm_58,Discrete_alarm_58,HMI_Alarm_AlarmWord8,1,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.1
59,Discrete_alarm_59,Discrete_alarm_59,HMI_Alarm_AlarmWord8,2,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.2
60,Discrete_alarm_60,Discrete_alarm_60,HMI_Alarm_AlarmWord8,3,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.3
61,Discrete_alarm_61,Discrete_alarm_61,HMI_Alarm_AlarmWord8,4,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.4
62,Discrete_alarm_62,Discrete_alarm_62,HMI_Alarm_AlarmWord8,5,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.5
63,Discrete_alarm_63,Discrete_alarm_63,HMI_Alarm_AlarmWord8,6,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.6
64,Discrete_alarm_64,Discrete_alarm_64,HMI_Alarm_AlarmWord8,7,PLC_1_AK6,DB1.DBW5970,DB1.DBX5971.7
65,Discrete_alarm_65,Tricanter M4 SIMP-Drive torque H,Alarmword_1,4,PLC_Tricanter,DB102.DBW0,DB102.DBX1.4
66,Discrete_alarm_66,Tricanter M5 SIMP-Drive torque HH,Alarmword_1,5,PLC_Tricanter,DB102.DBW0,DB102.DBX1.5
67,Discrete_alarm_67,Tricanter M6 SIMP-drive gearoil temperature,Alarmword_1,6,PLC_Tricanter,DB102.DBW0,DB102.DBX1.6
68,Discrete_alarm_68,Tricanter M7  bowldrive speed over limit hardware,Alarmword_1,7,PLC_Tricanter,DB102.DBW0,DB102.DBX1.7
69,Discrete_alarm_69,Tricanter M8 Emergency Stop,Alarmword_1,8,PLC_Tricanter,DB102.DBW0,DB102.DBX0.0
70,Discrete_alarm_70,Tricanter M9 backupbatterie fault,Alarmword_1,9,PLC_Tricanter,DB102.DBW0,DB102.DBX0.1
71,Discrete_alarm_71,Tricanter M10 Rent time end in 10 days,Alarmword_1,10,PLC_Tricanter,DB102.DBW0,DB102.DBX0.2
72,Discrete_alarm_72,Tricanter M11 Fuse 24V ,Alarmword_1,11,PLC_Tricanter,DB102.DBW0,DB102.DBX0.3
73,Discrete_alarm_73,Tricanter M12 USV Netz/Batterie,Alarmword_1,12,PLC_Tricanter,DB102.DBW0,DB102.DBX0.4
74,Discrete_alarm_74,Tricanter M13 Alarm USV,Alarmword_1,13,PLC_Tricanter,DB102.DBW0,DB102.DBX0.5
75,Discrete_alarm_75,Tricanter M14,Alarmword_1,14,PLC_Tricanter,DB102.DBW0,DB102.DBX0.6
76,Discrete_alarm_76,Tricanter M15,Alarmword_1,15,PLC_Tricanter,DB102.DBW0,DB102.DBX0.7
77,Discrete_alarm_77,Tricanter M16 bowldrive bearing feedside alarm,Alarmword_2,0,PLC_Tricanter,DB102.DBW2,DB102.DBX3.0
78,Discrete_alarm_78,Tricanter M17 backdrive powersupply,Alarmword_2,1,PLC_Tricanter,DB102.DBW2,DB102.DBX3.1
79,Discrete_alarm_79,Tricanter M18 Error Speed Monitoring,Alarmword_2,2,PLC_Tricanter,DB102.DBW2,DB102.DBX3.2
80,Discrete_alarm_80,Tricanter M19 bowlspeed min,Alarmword_2,3,PLC_Tricanter,DB102.DBW2,DB102.DBX3.3
81,Discrete_alarm_81,Tricanter M20 differentialspeed min,Alarmword_2,4,PLC_Tricanter,DB102.DBW2,DB102.DBX3.4
82,Discrete_alarm_82,Tricanter M21 bowldrive switch off by grease lubrication,Alarmword_2,5,PLC_Tricanter,DB102.DBW2,DB102.DBX3.5
83,Discrete_alarm_83,Tricanter M22 bowldrive flowcontrol feedpipe,Alarmword_2,6,PLC_Tricanter,DB102.DBW2,DB102.DBX3.6
84,Discrete_alarm_84,Tricanter M23 bowldrive speed over limit software,Alarmword_2,7,PLC_Tricanter,DB102.DBW2,DB102.DBX3.7
85,Discrete_alarm_85,Tricanter M24 bowldrive frequencyinverter,Alarmword_2,8,PLC_Tricanter,DB102.DBW2,DB102.DBX2.0
86,Discrete_alarm_86,Tricanter M25 bowldrive motorprotection,Alarmword_2,9,PLC_Tricanter,DB102.DBW2,DB102.DBX2.1
87,Discrete_alarm_87,Tricanter M26 bowldrive thermistor,Alarmword_2,10,PLC_Tricanter,DB102.DBW2,DB102.DBX2.2
88,Discrete_alarm_88,Tricanter M27 bowldrive vibration prealarm,Alarmword_2,11,PLC_Tricanter,DB102.DBW2,DB102.DBX2.3
89,Discrete_alarm_89,Tricanter M28 bowldrive vibration alarm,Alarmword_2,12,PLC_Tricanter,DB102.DBW2,DB102.DBX2.4
90,Discrete_alarm_90,Tricanter M29 bowldrive bearing drivenside prealarm,Alarmword_2,13,PLC_Tricanter,DB102.DBW2,DB102.DBX2.5
91,Discrete_alarm_91,Tricanter M30 bowldrive bearing drivenside alarm,Alarmword_2,14,PLC_Tricanter,DB102.DBW2,DB102.DBX2.6
92,Discrete_alarm_92,Tricanter M31 bowldrive bearing feedside prealarm,Alarmword_2,15,PLC_Tricanter,DB102.DBW2,DB102.DBX2.7
93,Discrete_alarm_93,Tricanter M32 Polymerpump frequency inverter,Alarmword_3,0,PLC_Tricanter,DB102.DBW4,DB102.DBX5.0
94,Discrete_alarm_94,Tricanter M33 polymerpump motorprotection,Alarmword_3,1,PLC_Tricanter,DB102.DBW4,DB102.DBX5.1
95,Discrete_alarm_95,Tricanter M34 polymerpump thermistor,Alarmword_3,2,PLC_Tricanter,DB102.DBW4,DB102.DBX5.2
96,Discrete_alarm_96,Tricanter M35 polymerpump pressureswitch,Alarmword_3,3,PLC_Tricanter,DB102.DBW4,DB102.DBX5.3
97,Discrete_alarm_97,Tricanter M36 polymerpump interlock feedpump,Alarmword_3,4,PLC_Tricanter,DB102.DBW4,DB102.DBX5.4
98,Discrete_alarm_98,Tricanter M37 polymerdillution,Alarmword_3,5,PLC_Tricanter,DB102.DBW4,DB102.DBX5.5
99,Discrete_alarm_99,Tricanter M38 polymerpump dryrun,Alarmword_3,6,PLC_Tricanter,DB102.DBW4,DB102.DBX5.6
100,Discrete_alarm_100,Tricanter M39 polymerpump stator temperature max,Alarmword_3,7,PLC_Tricanter,DB102.DBW4,DB102.DBX5.7
101,Discrete_alarm_101,Tricanter M40 Hydraulik motorprotection,Alarmword_3,8,PLC_Tricanter,DB102.DBW4,DB102.DBX4.0
102,Discrete_alarm_102,Tricanter M41 Hydraulik thermistor,Alarmword_3,9,PLC_Tricanter,DB102.DBW4,DB102.DBX4.1
103,Discrete_alarm_103,Tricanter M42 Hydraulik oil min,Alarmword_3,10,PLC_Tricanter,DB102.DBW4,DB102.DBX4.2
104,Discrete_alarm_104,Tricanter M43 Hydraulik temperature max,Alarmword_3,11,PLC_Tricanter,DB102.DBW4,DB102.DBX4.3
105,Discrete_alarm_105,Tricanter M44 Hydraulik pressureswitch green,Alarmword_3,12,PLC_Tricanter,DB102.DBW4,DB102.DBX4.4
106,Discrete_alarm_106,Tricanter M45 Hydraulik pressureswitch red,Alarmword_3,13,PLC_Tricanter,DB102.DBW4,DB102.DBX4.5
107,Discrete_alarm_107,Tricanter M46,Alarmword_3,14,PLC_Tricanter,DB102.DBW4,DB102.DBX4.6
108,Discrete_alarm_108,Tricanter M47 Mazerator Motorprotection,Alarmword_3,15,PLC_Tricanter,DB102.DBW4,DB102.DBX4.7
109,Discrete_alarm_109,Tricanter M48 screwconveyor frequencyinverter,Alarmword_4,0,PLC_Tricanter,DB102.DBW6,DB102.DBX7.0
110,Discrete_alarm_110,Tricanter M49 screwconveyor motorprotection,Alarmword_4,1,PLC_Tricanter,DB102.DBW6,DB102.DBX7.1
111,Discrete_alarm_111,Tricanter M50 feedpump belt slip,Alarmword_4,2,PLC_Tricanter,DB102.DBW6,DB102.DBX7.2
112,Discrete_alarm_112,Tricanter M51,Alarmword_4,3,PLC_Tricanter,DB102.DBW6,DB102.DBX7.3
113,Discrete_alarm_113,Tricanter M52,Alarmword_4,4,PLC_Tricanter,DB102.DBW6,DB102.DBX7.4
114,Discrete_alarm_114,Tricanter M53 greasepump motorprotection,Alarmword_4,5,PLC_Tricanter,DB102.DBW6,DB102.DBX7.5
115,Discrete_alarm_115,Tricanter M54 greasepipe flow,Alarmword_4,6,PLC_Tricanter,DB102.DBW6,DB102.DBX7.6
116,Discrete_alarm_116,Tricanter M55 greasetank empty,Alarmword_4,7,PLC_Tricanter,DB102.DBW6,DB102.DBX7.7
118,Discrete_alarm_118,Tricanter M57 feedpump motorprotection,Alarmword_4,9,PLC_Tricanter,DB102.DBW6,DB102.DBX6.1
120,Discrete_alarm_120,Tricanter M59 feedpump pressureswitch,Alarmword_4,11,PLC_Tricanter,DB102.DBW6,DB102.DBX6.3
121,Discrete_alarm_121,Tricanter M60 feedpump dryrun,Alarmword_4,12,PLC_Tricanter,DB102.DBW6,DB102.DBX6.4
122,Discrete_alarm_122,Tricanter M61 feedpump: interlock outlet not o.K.,Alarmword_4,13,PLC_Tricanter,DB102.DBW6,DB102.DBX6.5
123,Discrete_alarm_123,Tricanter M62 feedpumpe external release,Alarmword_4,14,PLC_Tricanter,DB102.DBW6,DB102.DBX6.6
125,Discrete_alarm_125,Tricanter M64 solids diverter torque open,Alarmword_5,0,PLC_Tricanter,DB102.DBW8,DB102.DBX9.0
126,Discrete_alarm_126,Tricanter M65 solids diverter torque close,Alarmword_5,1,PLC_Tricanter,DB102.DBW8,DB102.DBX9.1
127,Discrete_alarm_127,Tricanter M66 solids diverter thermokontact,Alarmword_5,2,PLC_Tricanter,DB102.DBW8,DB102.DBX9.2
128,Discrete_alarm_128,Tricanter M67 solids diverter motorprotection,Alarmword_5,3,PLC_Tricanter,DB102.DBW8,DB102.DBX9.3
129,Discrete_alarm_129,Tricanter M68 solids diverter runtime,Alarmword_5,4,PLC_Tricanter,DB102.DBW8,DB102.DBX9.4
130,Discrete_alarm_130,Tricanter M69,Alarmword_5,5,PLC_Tricanter,DB102.DBW8,DB102.DBX9.5
131,Discrete_alarm_131,Tricanter M70,Alarmword_5,6,PLC_Tricanter,DB102.DBW8,DB102.DBX9.6
132,Discrete_alarm_132,Tricanter M71,Alarmword_5,7,PLC_Tricanter,DB102.DBW8,DB102.DBX9.7
133,Discrete_alarm_133,Tricanter M72 sludgepump frequencyinverter,Alarmword_5,8,PLC_Tricanter,DB102.DBW8,DB102.DBX8.0
134,Discrete_alarm_134,Tricanter M73 sludgepump motorprotection,Alarmword_5,9,PLC_Tricanter,DB102.DBW8,DB102.DBX8.1
135,Discrete_alarm_135,Tricanter M74 sludgepump thermistor,Alarmword_5,10,PLC_Tricanter,DB102.DBW8,DB102.DBX8.2
136,Discrete_alarm_136,Tricanter M75 sludgepump pressureswitch,Alarmword_5,11,PLC_Tricanter,DB102.DBW8,DB102.DBX8.3
137,Discrete_alarm_137,Tricanter M76 sludgepump dryrun,Alarmword_5,12,PLC_Tricanter,DB102.DBW8,DB102.DBX8.4
138,Discrete_alarm_138,Tricanter M77 sludgetank full,Alarmword_5,13,PLC_Tricanter,DB102.DBW8,DB102.DBX8.5
139,Discrete_alarm_139,Tricanter M78,Alarmword_5,14,PLC_Tricanter,DB102.DBW8,DB102.DBX8.6
140,Discrete_alarm_140,Tricanter M79,Alarmword_5,15,PLC_Tricanter,DB102.DBW8,DB102.DBX8.7
141,Discrete_alarm_141,Tricanter M80 Inertisation flow A1,Alarmword_6,0,PLC_Tricanter,DB102.DBW10,DB102.DBX11.0
142,Discrete_alarm_142,Tricanter M81 Inertisation flow A2,Alarmword_6,1,PLC_Tricanter,DB102.DBW10,DB102.DBX11.1
143,Discrete_alarm_143,Tricanter M82 Inertisation flow A3,Alarmword_6,2,PLC_Tricanter,DB102.DBW10,DB102.DBX11.2
144,Discrete_alarm_144,Tricanter M83 Inertisation differentialpressure M1,Alarmword_6,3,PLC_Tricanter,DB102.DBW10,DB102.DBX11.3
145,Discrete_alarm_145,Tricanter M84 Inertisation differentialpressure M2,Alarmword_6,4,PLC_Tricanter,DB102.DBW10,DB102.DBX11.4
146,Discrete_alarm_146,Tricanter M85 Inertisation differentialpressure M3,Alarmword_6,5,PLC_Tricanter,DB102.DBW10,DB102.DBX11.5
147,Discrete_alarm_147,Tricanter M86 Inertisation housingpressure max,Alarmword_6,6,PLC_Tricanter,DB102.DBW10,DB102.DBX11.6
148,Discrete_alarm_148,Tricanter M87 Inertisation O2-control,Alarmword_6,7,PLC_Tricanter,DB102.DBW10,DB102.DBX11.7
149,Discrete_alarm_149,Tricanter M88 Ventilator SP3.12 motorprotection,Alarmword_6,8,PLC_Tricanter,DB102.DBW10,DB102.DBX10.0
150,Discrete_alarm_150,Tricanter M89 OIlpump SP3.12 motorprotection,Alarmword_6,9,PLC_Tricanter,DB102.DBW10,DB102.DBX10.1
151,Discrete_alarm_151,Tricanter M90 gearoil SP3.12 pressureswitch,Alarmword_6,10,PLC_Tricanter,DB102.DBW10,DB102.DBX10.2
152,Discrete_alarm_152,Tricanter M91 Oil-Air-Lubrication Airpressure,Alarmword_6,11,PLC_Tricanter,DB102.DBW10,DB102.DBX10.3
153,Discrete_alarm_153,Tricanter M92 Oil-Air-Lubrication Oil Level,Alarmword_6,12,PLC_Tricanter,DB102.DBW10,DB102.DBX10.4
154,Discrete_alarm_154,Tricanter M93 Oil-Air-Lubrication Oilpressure,Alarmword_6,13,PLC_Tricanter,DB102.DBW10,DB102.DBX10.5
155,Discrete_alarm_155,Tricanter M94 Oil-Air-Lubrication - Stop DECANTER,Alarmword_6,14,PLC_Tricanter,DB102.DBW10,DB102.DBX10.6
156,Discrete_alarm_156,Tricanter M95 Gearoil SP3.12 Current protection,Alarmword_6,15,PLC_Tricanter,DB102.DBW10,DB102.DBX10.7
157,Discrete_alarm_157,Tricanter M96 Impeller circuit breaker,Alarmword_7,0,PLC_Tricanter,DB102.DBW12,DB102.DBX13.0
158,Discrete_alarm_158,Tricanter M97 Imeller thermal contact,Alarmword_7,1,PLC_Tricanter,DB102.DBW12,DB102.DBX13.1
159,Discrete_alarm_159,Tricanter M98 Impeller torque open,Alarmword_7,2,PLC_Tricanter,DB102.DBW12,DB102.DBX13.2
160,Discrete_alarm_160,Tricanter M99 Impeller torque closing,Alarmword_7,3,PLC_Tricanter,DB102.DBW12,DB102.DBX13.3
161,Discrete_alarm_161,Tricanter M100,Alarmword_7,4,PLC_Tricanter,DB102.DBW12,DB102.DBX13.4
162,Discrete_alarm_162,Tricanter M101,Alarmword_7,5,PLC_Tricanter,DB102.DBW12,DB102.DBX13.5
163,Discrete_alarm_163,Tricanter M102,Alarmword_7,6,PLC_Tricanter,DB102.DBW12,DB102.DBX13.6
164,Discrete_alarm_164,Tricanter M103,Alarmword_7,7,PLC_Tricanter,DB102.DBW12,DB102.DBX13.7
165,Discrete_alarm_165,Tricanter M104 Inertisation switch off DECANTER,Alarmword_7,8,PLC_Tricanter,DB102.DBW12,DB102.DBX12.0
166,Discrete_alarm_166,Tricanter M105 Inertisation flushpipe,Alarmword_7,9,PLC_Tricanter,DB102.DBW12,DB102.DBX12.1
167,Discrete_alarm_167,Tricanter M106 Inertisation housingpressure min,Alarmword_7,10,PLC_Tricanter,DB102.DBW12,DB102.DBX12.2
168,Discrete_alarm_168,Tricanter M107 Inertisation cyclic test,Alarmword_7,11,PLC_Tricanter,DB102.DBW12,DB102.DBX12.3
169,Discrete_alarm_169,Tricanter M108 Inertisation O2 H-Level,Alarmword_7,12,PLC_Tricanter,DB102.DBW12,DB102.DBX12.4
170,Discrete_alarm_170,Tricanter M109 Inertisation O2 HH-Level,Alarmword_7,13,PLC_Tricanter,DB102.DBW12,DB102.DBX12.5
171,Discrete_alarm_171,Tricanter M110,Alarmword_7,14,PLC_Tricanter,DB102.DBW12,DB102.DBX12.6
172,Discrete_alarm_172,Tricanter M111,Alarmword_7,15,PLC_Tricanter,DB102.DBW12,DB102.DBX12.7
173,Discrete_alarm_173,Tricanter M112 Inertisation Fault Sensor MG,Alarmword_8,0,PLC_Tricanter,DB102.DBW14,DB102.DBX15.0
174,Discrete_alarm_174,Tricanter M113 Inertisation Fault Sensor M1,Alarmword_8,1,PLC_Tricanter,DB102.DBW14,DB102.DBX15.1
175,Discrete_alarm_175,Tricanter M114 Inertisation Fault Sensor M2,Alarmword_8,2,PLC_Tricanter,DB102.DBW14,DB102.DBX15.2
176,Discrete_alarm_176,Tricanter M115 Inertisation Fault Sensor M3,Alarmword_8,3,PLC_Tricanter,DB102.DBW14,DB102.DBX15.3
177,Discrete_alarm_177,Tricanter M116 Inertisation Fault USV,Alarmword_8,4,PLC_Tricanter,DB102.DBW14,DB102.DBX15.4
178,Discrete_alarm_178,Tricanter M117 Inertisation Manvalve IZ closed,Alarmword_8,5,PLC_Tricanter,DB102.DBW14,DB102.DBX15.5
179,Discrete_alarm_179,Tricanter M118 Inertisation switched off by operator,Alarmword_8,6,PLC_Tricanter,DB102.DBW14,DB102.DBX15.6
180,Discrete_alarm_180,Tricanter M119 Inertisation Fault Sensor O2,Alarmword_8,7,PLC_Tricanter,DB102.DBW14,DB102.DBX15.7
181,Discrete_alarm_181,Tricanter M120 Housingtemp Prealarm,Alarmword_8,8,PLC_Tricanter,DB102.DBW14,DB102.DBX14.0
182,Discrete_alarm_182,Tricanter M121 Housingtemp Alarm,Alarmword_8,9,PLC_Tricanter,DB102.DBW14,DB102.DBX14.1
183,Discrete_alarm_183,Tricanter M122 Sealing A1 prealarm,Alarmword_8,10,PLC_Tricanter,DB102.DBW14,DB102.DBX14.2
184,Discrete_alarm_184,Tricanter M123 Sealing A1 Alarm,Alarmword_8,11,PLC_Tricanter,DB102.DBW14,DB102.DBX14.3
185,Discrete_alarm_185,Tricanter M124 Sealing A2 Prealarm,Alarmword_8,12,PLC_Tricanter,DB102.DBW14,DB102.DBX14.4
186,Discrete_alarm_186,Tricanter M125 Sealing A2 Alarm,Alarmword_8,13,PLC_Tricanter,DB102.DBW14,DB102.DBX14.5
187,Discrete_alarm_187,Tricanter M126 Sealing A3 Prealarm,Alarmword_8,14,PLC_Tricanter,DB102.DBW14,DB102.DBX14.6
188,Discrete_alarm_188,Tricanter M127 Sealing A3 Alarm,Alarmword_8,15,PLC_Tricanter,DB102.DBW14,DB102.DBX14.7
189,Discrete_alarm_189,Tricanter M128 ,Alarmword_9,0,PLC_Tricanter,DB102.DBW16,DB102.DBX17.0
190,Discrete_alarm_190,Tricanter M129 CIP Answersignal water missing,Alarmword_9,1,PLC_Tricanter,DB102.DBW16,DB102.DBX17.1
191,Discrete_alarm_191,Tricanter M130 CIP Answersignal lye missing,Alarmword_9,2,PLC_Tricanter,DB102.DBW16,DB102.DBX17.2
192,Discrete_alarm_192,Tricanter M131 CIP Answersignal acid missing,Alarmword_9,3,PLC_Tricanter,DB102.DBW16,DB102.DBX17.3
193,Discrete_alarm_193,Tricanter M132,Alarmword_9,4,PLC_Tricanter,DB102.DBW16,DB102.DBX17.4
